Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases
Asia,"155,843,562","+206,673","1,431,673",+235,"148,594,739","+246,403","5,817,150"
North America,"101,351,061","+14,998","1,473,665",+79,"95,880,988","+49,783","3,996,408"
South America,"57,697,001","+29,956","1,298,782",+96,"53,502,565","+29,503","2,895,654"
Europe,"196,209,634","+52,794","1,840,523",+389,"185,315,800","+189,895","9,053,311"
Oceania,"8,707,701","+33,337","12,282",+16,"8,298,077","+44,823","397,342"
Africa,"12,141,455","+2,396","254,867",+18,"11,335,589","+5,516","550,999"
,721,,15,,706,,0
World,"531,951,135","+340,154","6,311,807",+833,"502,928,464","+565,923","22,710,864"
China,"224,049",+34,"5,226",,"216,075",+215,"2,748"
USA,"85,730,597","+6,865","1,031,286",+7,"82,151,831","+43,261","2,547,480"
India,"43,158,582","+2,833","524,630",+19,"42,615,574","+2,134","18,378"
Brazil,"30,977,661","+24,082","666,568",+72,"29,971,308","+26,723","339,785"
France,"29,484,111","+4,673","148,251",+85,"28,873,058","+56,412","462,802"
Germany,"26,310,294","+23,406","139,069",+87,"25,216,200","+78,400","955,025"
UK,"22,294,524","+5,608","178,549",+28,"21,923,608","+7,449","192,367"
Russia,"18,327,837","+3,801","379,029",+74,"17,733,870","+4,019","214,938"
S. Korea,"18,086,462","+6,139","24,167",+9,"17,670,519","+35,864","391,776"
Italy,"17,396,723","+7,537","166,631",+62,"16,531,231","+20,971","698,861"
Turkey,"15,071,772",+908,"98,961",+4,"14,970,310","+1,005","2,501"
Spain,"12,326,264",,"106,341",,"11,715,260",,"504,663"
Vietnam,"10,718,369","+1,118","43,078",,"9,456,541","+8,189","1,218,750"
Argentina,"9,230,573",,"128,889",,"8,895,999",,"205,685"
Japan,"8,811,614","+20,828","30,558",+22,"8,496,184","+31,305","284,872"
Netherlands,"8,084,622",+913,"22,318",,"8,026,410","+3,271","35,894"
Australia,"7,242,842","+27,211","8,469",+9,"6,941,610","+38,578","292,763"
Iran,"7,231,802",+240,"141,310",+2,"7,047,817","+1,681","42,675"
Colombia,"6,103,455",,"139,854",,"5,934,231",,"29,370"
Indonesia,"6,054,633",+218,"156,586",+12,"5,895,176",+287,"2,871"
Poland,"6,007,238",+83,"116,311",,"5,335,408",+3,"555,519"
Mexico,"5,772,032","+1,170","324,879",+25,"5,061,943","+1,605","385,210"
Ukraine,"5,011,433",,"108,538",,N/A,N/A,N/A
Malaysia,"4,505,059","+1,325","35,669",+4,"4,445,611","+1,935","23,779"
Thailand,"4,446,502","+3,854","30,001",+26,"4,373,970","+6,031","42,531"
Austria,"4,250,240","+1,733","18,651",,"4,195,652","+1,968","35,937"
Belgium,"4,147,568",,"31,727",,"4,028,524","+3,803","87,317"
Israel,"4,137,301","+2,379","10,852",+13,"4,113,572","+1,773","12,877"
Portugal,"4,066,674",,"22,583",,N/A,N/A,N/A
South Africa,"3,954,971","+1,004","101,162",+16,"3,808,079","+4,354","45,730"
Czechia,"3,919,690",+29,"40,283",+1,"3,878,618",+329,789
Canada,"3,867,057","+1,914","40,995",+13,"3,529,683",,"296,379"
Chile,"3,698,667","+5,426","57,887",+10,"3,500,754","+2,298","140,026"
Philippines,"3,690,451",+197,"60,455",,"3,627,548",+183,"2,448"
Switzerland,"3,650,661",,"13,948",,"3,598,300","+2,531","38,413"
Peru,"3,580,347",+296,"213,186",+13,N/A,N/A,N/A
DPRK,"3,549,590","+100,710",70,+1,"3,360,990","+98,290","188,530"
Greece,"3,447,938","+2,400","29,828",+25,"3,376,750","+4,607","41,360"
Denmark,"2,984,042",+750,"6,358",+8,"2,970,859",+994,"6,825"
Romania,"2,908,704",+188,"65,678",,N/A,N/A,N/A
Sweden,"2,507,948",,"18,944",,"2,482,780",+402,"6,224"
Iraq,"2,328,019",+111,"25,219",,"2,301,816",+101,984
Serbia,"2,017,189",+268,"16,080",+1,"1,995,746",+425,"5,363"
Bangladesh,"1,953,481",+34,"29,131",+1,"1,902,591",+169,"21,759"
Taiwan,"1,952,278","+60,026","2,165",+109,"446,183","+50,599","1,503,930"
Hungary,"1,917,777",,"46,507",,"1,841,731",,"29,539"
Slovakia,"1,789,465",+28,"20,098",+1,"1,767,045",+48,"2,322"
Jordan,"1,694,216",,"14,048",,"1,678,941",,"1,227"
Georgia,"1,655,221",,"16,811",,"1,637,293",,"1,117"
Ireland,"1,561,632",,"7,271",,"1,538,051",+785,"16,310"
Pakistan,"1,530,331",+48,"30,379",,"1,496,123",,"3,829"
Norway,"1,433,262",+374,"3,141",,N/A,N/A,N/A
Kazakhstan,"1,305,745",+13,"13,661",,"1,291,885",,199
Singapore,"1,298,309","+2,389","1,386",+3,"1,220,440","+3,828","76,483"
Hong Kong,"1,212,370",+275,"9,378",+2,N/A,N/A,N/A
Morocco,"1,167,983",+89,"16,076",,"1,150,424",+117,"1,483"
Bulgaria,"1,164,985",+253,"37,145",+11,"1,052,818","+2,121","75,022"
New Zealand,"1,153,946","+5,901","1,112",+5,"1,104,214","+6,062","48,620"
Croatia,"1,136,453",+36,"15,984",+1,"1,118,457",+444,"2,012"
Cuba,"1,105,290",+32,"8,529",,"1,096,510",+36,251
Lebanon,"1,099,148",,"10,427",,"1,086,337",,"2,384"
Finland,"1,092,193",,"4,522",,N/A,N/A,N/A
Lithuania,"1,062,343",+15,"9,144",+1,"1,036,048",+99,"17,151"
Tunisia,"1,042,362",,"28,632",,N/A,N/A,N/A
Slovenia,"1,024,650",+67,"6,637",+1,"1,013,243",+138,"4,770"
Belarus,"982,867",,"6,978",,N/A,N/A,N/A
Nepal,"979,132",+5,"11,952",,"967,078",+13,102
Uruguay,"916,388",,"7,227",,"901,555",,"7,606"
Bolivia,"908,659",+134,"21,947",,"868,998",+395,"17,714"
UAE,"907,824",+383,"2,305",+1,"891,455",+379,"14,064"
Costa Rica,"891,038",,"8,495",,"854,426",,"28,117"
Ecuador,"877,282",,"35,637",,N/A,N/A,N/A
Guatemala,"860,169",+71,"18,131",+14,"838,614",+109,"3,424"
Panama,"854,449","+1,842","8,254",+5,"818,915","+3,297","27,280"
Latvia,"828,406",+329,"5,823",,"820,235",+334,"2,348"
Azerbaijan,"792,759",+1,"9,713",,"782,998",+2,48
Saudi Arabia,"767,412",+686,"9,145",+1,"751,798",+621,"6,469"
Sri Lanka,"663,823",+7,"16,517",+1,"646,953",+2,353
Paraguay,"650,661",,"18,894",,"624,673",,"7,094"
Kuwait,"633,225",+444,"2,555",,"630,034",+339,636
Myanmar,"613,326",+11,"19,434",,"592,276",+5,"1,616"
Bahrain,"585,082",+516,"1,488",+1,"579,829",+479,"3,765"
Dominican Republic,"583,722",+563,"4,377",,"577,481",+505,"1,864"
Palestine,"582,495",+132,"5,356",,"576,993",+114,146
Estonia,"576,047",,"2,561",,"518,188",,"55,298"
Venezuela,"523,625",+7,"5,721",,"516,874",+55,"1,030"
Moldova,"518,793",,"11,521",,"504,142",,"3,130"
Egypt,"515,645",,"24,613",,"442,182",,"48,850"
Libya,"502,016",+112,"6,430",,"490,973",,"4,613"
Cyprus,"489,963",,"1,059",,"124,370",,"364,534"
Ethiopia,"472,447",+101,"7,513",,"455,966",+31,"8,968"
Mongolia,"469,885",,"2,179",,"313,256",,"154,450"
Honduras,"425,304",+191,"10,899",,"132,401",,"282,004"
Armenia,"422,963",+24,"8,625",+1,"412,606",+366,"1,732"
Réunion,"414,615",,777,,"406,484",,"7,354"
Oman,"389,473",,"4,260",,"384,669",,544
Bosnia and Herzegovina,"377,843",+14,"15,787",,N/A,N/A,N/A
Qatar,"368,519",+234,677,,"366,461",+140,"1,381"
Kenya,"324,859",+91,"5,651",,"318,524",+63,684
Zambia,"321,503",,"3,985",,"316,872",,646
North Macedonia,"311,851",+150,"9,303",+3,"302,013",+194,535
Botswana,"307,126",,"2,695",,"303,845",,586
Albania,"276,101",,"3,497",,"272,291",,313
Algeria,"265,877",+4,"6,875",,"178,400",,"80,602"
Nigeria,"256,028",,"3,143",,"250,036",,"2,849"
Zimbabwe,"252,092",,"5,500",,"243,916",,"2,676"
Luxembourg,"244,182",,"1,073",,"235,939",,"7,170"
Uzbekistan,"239,025",+42,"1,637",,"237,258",+44,130
Montenegro,"237,148",+49,"2,720",,"233,974",+39,454
Mozambique,"225,709",+3,"2,203",,"223,376",+44,130
Laos,"209,975",+10,756,,N/A,N/A,N/A
Kyrgyzstan,"200,993",,"2,991",,"196,406",,"1,596"
Iceland,"187,949",,153,,N/A,N/A,N/A
Afghanistan,"180,263",+87,"7,703",+2,"163,030",+44,"9,530"
Maldives,"179,753",+91,299,+1,"163,687",,"15,767"
Martinique,"169,620",,936,,104,,"168,580"
Namibia,"166,189",+392,"4,037",+2,"159,448",+683,"2,704"
Uganda,"164,069",,"3,596",,"100,205",,"60,268"
El Salvador,"162,755",,"4,132",+1,"158,278",,345
Trinidad and Tobago,"161,435",+227,"3,916",+4,"147,738",,"9,781"
Ghana,"161,370",,"1,445",,"159,881",,44
Brunei,"148,395",+306,223,,"146,639",+233,"1,533"
Guadeloupe,"140,130",,854,,"2,250",,"137,026"
Jamaica,"137,076",+763,"3,056",+7,"86,973",+144,"47,047"
Cambodia,"136,262",,"3,056",,"133,201",,5
Rwanda,"130,032",+13,"1,459",,"45,522",,"83,051"
Cameroon,"119,947",,"1,930",,"117,791",,226
Angola,"99,194",,"1,900",,"97,149",,145
Malta,"94,643",+64,721,,"92,106",+63,"1,816"
DRC,"88,374",+338,"1,338",,"50,930",,"36,106"
Senegal,"86,109",+1,"1,966",,"84,127",+7,16
Malawi,"85,978",+5,"2,640",,"82,860",,478
French Guiana,"82,952",,397,,"11,254",,"71,301"
Ivory Coast,"82,194",+1,799,,"81,320",+7,75
Barbados,"80,441",+117,449,+3,"77,956",+298,"2,036"
Suriname,"80,416",,"1,341",,"49,485",,"29,590"
Channel Islands,"76,190",,176,,"75,439",,575
French Polynesia,"72,922",+11,649,,N/A,N/A,N/A
Eswatini,"72,474",+77,"1,407",,"70,813",+73,254
Fiji,"65,007",+28,863,,"63,081",+47,"1,063"
Guyana,"64,628",+11,"1,234",+1,"62,765",+32,629
Madagascar,"64,377",,"1,395",,"59,370",,"3,612"
Sudan,"62,321",+70,"4,941",,N/A,N/A,N/A
New Caledonia,"61,880",,313,,"60,999",,568
Bhutan,"59,628",+14,21,,"59,596",+32,11
Belize,"59,243",+194,677,,"57,353",+165,"1,213"
Mauritania,"59,127",+4,982,,"57,928",+38,217
Cabo Verde,"56,294",+4,401,,"55,761",+28,132
Syria,"55,880",,"3,150",,"52,610",,120
Gabon,"47,650",+28,304,,"47,310",+7,36
Papua New Guinea,"44,425",,651,,"43,755",,19
Seychelles,"43,959",,167,,"43,420",,372
Curaçao,"43,864",,277,,"43,153",,434
Andorra,"42,894",,153,,"42,181",,560
Burundi,"41,987",,38,,N/A,N/A,N/A
Mauritius,"38,060",+9,996,,"36,416",+43,648
Mayotte,"37,523",,187,,"2,964",,"34,372"
Togo,"37,085",,273,,"36,768",,44
Aruba,"37,034",,213,,"36,495",,326
Guinea,"36,597",,442,,"36,113",,42
Tanzania,"35,354",,840,,N/A,N/A,N/A
Bahamas,"34,713",+41,810,,"32,815",+40,"1,088"
Faeroe Islands,"34,658",,28,,N/A,N/A,N/A
Lesotho,"32,910",,697,,"24,155",,"8,058"
Mali,"31,097",+1,734,,"30,217",+10,146
Haiti,"30,800",,835,,"29,684",,281
Isle of Man,"28,416",,105,,"26,794",,"1,517"
Benin,"26,952",,163,,"25,506",,"1,283"
Somalia,"26,565",+30,"1,350",,"13,182",,"12,033"
Saint Lucia,"25,593",,371,,"24,569",+125,653
Cayman Islands,"25,318",+841,28,,"8,553",,"16,737"
Congo,"24,079",,385,,"20,178",,"3,516"
Timor-Leste,"22,913",+1,131,,"22,760",+1,22
Burkina Faso,"20,853",,382,,"20,439",,32
Nicaragua,"18,491",,225,,"4,225",,"14,041"
Gibraltar,"18,419",,102,,"16,579",,"1,738"
Solomon Islands,"18,174",,146,,"16,357",,"1,671"
Grenada,"17,662",,226,,"16,837",,599
South Sudan,"17,592",+2,138,,"13,514",,"3,940"
Liechtenstein,"17,463",+2,84,,"17,344",+1,35
Tajikistan,"17,388",,124,,"17,264",,0
San Marino,"17,105",+22,115,,"16,871",+30,119
Equatorial Guinea,"15,921",+6,183,,"15,704",,34
Djibouti,"15,631",,189,,"15,427",,15
Bermuda,"14,755",,138,,"14,305",,312
CAR,"14,649",,113,,"6,859",,"7,677"
Dominica,"14,184",,65,,"13,775",,344
Samoa,"13,499",+119,26,+1,"1,605",,"11,868"
Monaco,"12,170",+2,57,,"12,063",+15,50
Gambia,"12,002",,365,,"11,591",,46
Greenland,"11,971",,21,,"2,761",,"9,189"
Yemen,"11,819",,"2,149",,"9,042",,628
Tonga,"11,644",+8,12,+1,"11,225",+31,407
Saint Martin,"10,668",,63,,"1,399",,"9,206"
Sint Maarten,"10,353",+74,86,,"10,225",+98,42
Caribbean Netherlands,"10,091",+47,35,,"10,017",+58,39
Eritrea,"9,759",+2,103,,"9,649",+2,7
Vanuatu,"9,043",+38,14,,"8,695",+64,334
Niger,"9,031",,310,,"8,628",,93
Guinea-Bissau,"8,260",,171,,"8,033",,56
Antigua and Barbuda,"8,163",+44,138,,"7,838",+74,187
Comoros,"8,100",,160,,"7,933",,7
Sierra Leone,"7,682",,125,,N/A,N/A,N/A
Liberia,"7,455",,294,,"5,747",,"1,414"
Chad,"7,417",,193,,"4,874",,"2,350"
St. Vincent Grenadines,"6,875",+2,106,,"6,641",,128
British Virgin Islands,"6,765",,62,,N/A,N/A,N/A
Turks and Caicos,"6,123",,36,,"6,044",,43
Sao Tome and Principe,"5,991",+9,73,,"5,909",+9,9
Saint Kitts and Nevis,"5,719",,43,,"5,610",,66
Cook Islands,"5,657",+21,1,,"5,604",+41,52
Palau,"5,043",,6,,"4,331",,706
St. Barth,"4,630",,6,,N/A,N/A,N/A
Anguilla,"3,203",,9,,"3,142",,52
Kiribati,"3,098",,13,,"2,602",,483
Saint Pierre Miquelon,"2,748",,1,,"2,449",,298
Falkland Islands,"1,687",,,,N/A,N/A,N/A
Montserrat,980,,6,,941,,33
Diamond Princess,712,,13,,699,,0
Wallis and Futuna,454,,7,,438,,9
Macao,83,,,,82,,1
Micronesia,30,,,,30,,0
Vatican City,29,,,,29,,0
Marshall Islands,17,,,,14,,3
Western Sahara,10,,1,,9,,0
MS Zaandam,9,,2,,7,,0
Niue,9,,,,9,,0
Nauru,8,,,,8,,0
Tuvalu,3,,,,,,3
Saint Helena,2,,,,2,,0
